year,month,basin,station,size_class,count
2016,8,south,23,small,22
2016,8,south,27,small,28
2016,8,south,41,small,33
2016,8,south,44,small,16
2016,8,south,135,small,0
2016,8,south,135,small,0
2016,8,north,DN,small,306
2016,8,north,128,small,168
2016,8,north,124,small,1
2016,8,south,23,large,0
2016,8,south,27,large,3
2016,8,south,41,large,1
2016,8,south,44,large,1
2016,8,south,135,large,0
2016,8,south,135,large,0
2016,8,north,DN,large,43
2016,8,north,128,large,38
2016,8,north,124,large,0