date,basin,lo,mi,hi
1991-06-20,south,1.77444586267027,3.258819744778955,4.726388144521783
1991-06-20,north,1.3224476708123656,1.9807140195788935,2.860067060733556
1991-08-20,south,3.8110054641978954,4.519604306243924,5.503729651824481
1991-08-20,north,1.5505502670575808,2.0539710226885535,2.6485060620223075
1992-06-20,south,0.4558783785744119,1.3132063280996302,2.9777608991822326
1992-06-20,north,0.519356788988092,0.9350284522803063,1.4865074787215389
1992-08-20,south,0.19700125437109484,0.6553936236788497,1.9497020462597339
1992-08-20,north,0.19323084162826948,0.5155838253111868,1.0452745457173493
1993-06-20,south,0.3097882475864143,0.977669479007967,2.244609398021854
1993-06-20,north,0.2164182402285669,0.6305190021040421,1.3436952242125977
1993-08-20,south,0.7168600813381362,1.6540061517895057,2.842547301187949
1993-08-20,north,0.6630210142904036,1.3677203017565498,2.32355914414589
1994-06-20,south,0.8525123858069196,1.8948185243302744,3.0879949009665455
1994-06-20,north,1.0204397456822698,1.8559920905893375,2.8881271047522317
1994-08-20,south,1.4664945876344277,2.4281664650920955,3.5250902625183316
1994-08-20,north,1.4077292812891755,2.306367025827952,3.335014653562965
1995-06-20,south,0.9481226979724457,1.8183057679703616,2.9925863681887055
1995-06-20,north,1.2255988068465011,2.1224381758916917,3.1071473365011832
1995-08-20,south,0.534817397933366,1.3051238019280071,2.405306736910966
1995-08-20,north,0.7929365941520062,1.5891376590270312,2.622821668119885
1996-06-20,south,0.7250901829830175,1.3883268070229606,2.274929309833801
1996-06-20,north,1.853345962436977,2.475756312601005,3.148245946576615
1996-08-20,south,0.3258121113283137,0.8314399478406536,1.5370975029920286
1996-08-20,north,0.5929542060141704,1.0196304190467904,1.6563382560554691
1997-06-20,south,0.3574478308619089,0.7039655468961719,1.1191381378555625
1997-06-20,north,0.6180757986816372,0.9402431367515034,1.343133991654994
1997-08-20,south,0.12870217451865243,0.3531045486315203,0.6755621392935452
1997-08-20,north,0.1603478211921151,0.4609905778062925,0.9333974818360788
1998-06-20,south,0.08199659218648768,0.2810746408047413,0.646125054895196
1998-06-20,north,0.22410836218961488,0.6239900529367431,1.170989494181765
1998-08-20,south,0.16336999687017917,0.5387637997685779,1.1874372960472719
1998-08-20,north,0.5878319426524533,1.1392019766849932,1.8618495669700112
1999-06-20,south,0.3133926614944555,0.8584032841737825,1.6718141497891768
1999-06-20,north,0.5280188607087275,1.207805354533445,2.1734195002604726
1999-08-20,south,0.4212697263905259,1.116731241502955,2.073668442826071
1999-08-20,north,1.00044692084766,1.7934561170731897,2.833592657095368
2000-06-20,south,0.4356517022161209,1.231211781987791,2.24407074988763
2000-06-20,north,1.8118103240054828,2.6439681878681567,3.649566148931581
2000-08-20,south,0.4752102390813975,1.233758735279045,2.332858058061845
2000-08-20,north,2.088818265067919,2.833699032065148,3.725608983333839
2001-06-20,south,0.6480948588464306,1.4785440594728838,2.502632976393059
2001-06-20,north,1.3239362654611129,1.9593659852346812,2.8069030575046106
2001-08-20,south,0.7731322799302782,1.5263262690935058,2.435047881647722
2001-08-20,north,1.197816831349713,1.661993551713525,2.3093212505649423
2002-06-20,south,0.8224434806812806,1.4590409654671235,2.2333624948379702
2002-06-20,north,1.4843789861001597,1.8162529181506915,2.2384286824654467
2002-08-20,south,0.29694160988831647,0.7149115721115543,1.2600695592115765
2002-08-20,north,0.2820425171451479,0.45755767373112355,0.6375519309094873
2003-06-20,south,0.05508948984807184,0.1641924988739071,0.3341489004190726
2003-06-20,north,0.059385387802513775,0.1565680709127408,0.2689441808067588
2003-08-20,south,0.03564578311542154,0.1198799784306829,0.24213547133691843
2003-08-20,north,0.09196122694754345,0.2064589201978605,0.331676038029948
2004-06-20,south,0.3036916520778409,0.5759087965067007,0.8878723341954045
2004-06-20,north,0.09602401060194009,0.2274262539323812,0.38808383963041543
2004-08-20,south,0.13917605833510857,0.4637768614964376,1.081491322714815
2004-08-20,north,0.04249875635053785,0.12924589275479043,0.2678523293492808
2005-06-20,south,0.5250851973091629,1.0987962307882941,1.9271099159049432
2005-06-20,north,0.17863996090415915,0.4182454474623298,0.7139546541089508
2005-08-20,south,0.4347451739331682,1.228683116808753,2.3411855596497273
2005-08-20,north,0.5746357745554681,1.0973776968541769,1.7288604466909332
2006-06-20,south,0.6131805706080158,1.585423541937169,2.8906818073134457
2006-06-20,north,1.5228663273323548,2.1182955329435558,2.837246515960473
2006-08-20,south,1.1450131976757403,2.234710647279355,3.59615417843249
2006-08-20,north,1.5736609837542404,2.193638650976591,2.9115008618303295
2007-06-20,south,1.9319073115073353,3.0582563646631002,4.373130116814173
2007-06-20,north,1.119811171416605,1.6385358506993195,2.2606725487842114
2007-08-20,south,1.646459769025,2.853942594777389,4.348831745205871
2007-08-20,north,0.726681745024227,1.0398536006725467,1.4751563040933737
2008-06-20,south,1.968655631082793,3.0982694774961326,4.421680069878803
2008-06-20,north,0.6366519474630284,0.9333733383757943,1.2782364428361743
2008-08-20,south,1.0888407065400814,2.417960676489683,4.1801827844320565
2008-08-20,north,0.9253665169398091,1.316994253742171,1.7859444777400209
2009-06-20,south,0.865512277350083,2.1936678440170474,4.192442640542206
2009-06-20,north,0.8024118891949604,1.1643232602174387,1.661753764559829
2009-08-20,south,0.9026729301484042,2.2688303699882773,4.092627099416197
2009-08-20,north,0.93728479475597,1.3511770736874213,1.8947620291376888
2010-06-20,south,1.4140586563417334,2.6175076106487714,4.322414561295586
2010-06-20,north,1.0772830730717347,1.448056268179506,1.9351631770883702
2010-08-20,south,1.9716776292365892,3.0441908828178814,4.662908710075206
2010-08-20,north,0.9211310330737453,1.281313388356923,1.725398168871024
2011-06-20,south,0.8806205728191265,2.1641914991405042,4.208352258156804
2011-06-20,north,0.2781813853226576,0.5072408674851026,0.8035544561589307
2011-08-20,south,0.7585728487649972,2.0537303713948605,4.226874319406304
2011-08-20,north,0.6744463392109266,1.057242464692301,1.591185621962746
2012-06-20,south,0.9673140192058165,2.299657974600036,4.474796617541333
2012-06-20,north,1.0793643993795723,1.7161355374491136,2.572452677282301
2012-08-20,south,0.9347619271979375,2.425112776119805,4.530040572744053
2012-08-20,north,2.5294810161241754,3.268897964757025,4.1872877435304545
2013-06-20,south,1.2786822672753966,2.767094638869585,4.825692525887941
2013-06-20,north,1.5448951493415444,2.5313860662515255,3.6898304282303753
2013-08-20,south,1.5195380556577442,3.027595166122456,5.073041119213469
2013-08-20,north,1.5760300299683867,2.5342614662428824,3.7788057105005683
2014-06-20,south,2.0675513406930133,3.4625324831044333,5.343063017683251
2014-06-20,north,1.692830565563319,2.7936946460937877,4.092665562798384
2014-08-20,south,2.8976801552063702,4.22846717855365,5.8475539483887395
2014-08-20,north,2.909086400097679,3.7548482594781554,4.777255772940553
2015-06-20,south,1.5695735680497953,3.0398905572984747,4.838687407358684
2015-06-20,north,0.7980296895732071,1.9637218678722737,3.563064774469032
2015-08-20,south,0.8954339522130755,2.3090974448120285,4.230367056351807
2015-08-20,north,0.5569190513533159,1.5467679083502786,3.344994282850437
2016-06-20,south,0.8234223079188064,2.0417532635037094,3.909298065102803
2016-06-20,north,1.3309761866704048,2.41682056892473,3.9489334728353795
2016-08-20,south,0.7191507317723306,1.9672252673061712,3.5574121116076265
2016-08-20,north,2.0067465006846454,3.1774596306977507,4.48018757418465
2017-06-20,south,0.5996542104162992,1.6440863635065885,3.1173171590899442
2017-06-20,north,2.3668321661702114,3.4053189617868194,4.631212040145847
2017-08-20,south,0.4903854881022465,1.4507278199994218,2.7175652952655867
2017-08-20,north,3.3400354022492165,4.108251705828547,5.029279079578747
2018-06-20,south,0.5080418094035958,1.2740511700838655,2.36097249208792
2018-06-20,north,1.3326044168484996,1.8760257800038476,2.587250480961182
2018-08-20,south,0.29349176792643117,0.8522754326969215,1.628651570351967
2018-08-20,north,0.20741515006383696,0.43224385893630196,0.7079502933830754
2019-06-20,south,0.17741477045667753,0.5662236010337427,1.2437742047722966
2019-06-20,north,0.31837723734577444,0.5595368528634057,0.8278023743640244
2019-08-20,south,0.17272726232472782,0.5012286821455024,1.1529387940454774
2019-08-20,north,0.7010728037342832,1.0430787018088403,1.475563676040951
2020-06-20,south,0.7300694482248277,1.3451034656968304,2.1782515371207354
2020-06-20,north,0.9430912063892923,1.3056365468159241,1.7981924185045464
